course_number,course_code,lecture_number,lecture_name,lecture_content,lecture_link
6741,COMP,1,Introduction to Intelligent Systems,file:///Users/hari/Intelligent_Systems_Project/Phase-1/lecture_content/COMP474_6741/slides01.pdf,https://moodle.concordia.ca/moodle/course/view.php?id=162041#coursecontentcollapse2
6741,COMP,2,Introduction to Knowledge Graphs (RDF),"file:///Users/hari/Intelligent_Systems_Project/Phase-1/lecture_content/COMP474_6741/worksheet01.pdf, file:///Users/hari/Intelligent_Systems_Project/Phase-1/lecture_content/COMP474_6741/slides02.pdf",https://moodle.concordia.ca/moodle/course/view.php?id=162041#coursecontentcollapse3
474,COMP,2,Introduction to Knowledge Graphs (RDF),"file:///Users/hari/Intelligent_Systems_Project/Phase-1/lecture_content/COMP474_6741/worksheet01.pdf, file:///Users/hari/Intelligent_Systems_Project/Phase-1/lecture_content/COMP474_6741/slides02.pdf",https://moodle.concordia.ca/moodle/course/view.php?id=162041#coursecontentcollapse3
