lecture_number,course_number,course_code,topic_name,topic_provenance,db_link,wiki_link
6,474,COMP,Classification and Predictions (Unsupervised Learning),lecture_content/COMP474_6741/slides06.pdf,https://dbpedia.org/page/Unsupervised_learning,
6,474,COMP,Machine Learning Evaluation,lecture_content/COMP474_6741/slides06.pdf,"https://dbpedia.org/page/Training,_validation,_and_test_data_sets",
7,474,COMP,Intelligent Agents,lecture_content/COMP474_6741/slides07.pdf,https://dbpedia.org/page/Intelligent_agent,
7,474,COMP,Intelligent Conversational Agents,lecture_content/COMP474_6741/slides07.pdf,https://dbpedia.org/page/Intelligent_agent,
7,474,COMP,Search-Based Bots,lecture_content/COMP474_6741/slides07.pdf,https://dbpedia.org/page/Web_crawler,
7,474,COMP,Pattern-Matching Bots,lecture_content/COMP474_6741/slides07.pdf,https://dbpedia.org/page/Web_crawler,
7,474,COMP,Grounding-Based Bots,lecture_content/COMP474_6741/slides07.pdf,https://dbpedia.org/page/Web_crawler,
8,474,COMP,Text Mining Systems,lecture_content/COMP474_6741/slides08.pdf,https://dbpedia.org/page/Text_mining,
8,474,COMP,Introduction to Text Mining Systems,lecture_content/COMP474_6741/slides08.pdf,https://dbpedia.org/page/Text_mining,
8,474,COMP,NLP ,lecture_content/COMP474_6741/slides08.pdf,https://dbpedia.org/page/Natural_language_processing,
8,474,COMP,NLP Pipeline,lecture_content/COMP474_6741/slides08.pdf,https://dbpedia.org/page/Lexical_analysis,
